Dashboard_Category,KPI_Name,Current_Value,Benchmark_Value,Unit,Trend_7_Days,Trend_30_Days,Department,Priority_Level,Action_Required,Last_Updated
Operational_Efficiency,Pharmacy_Turnaround,28,25,minutes,+2,+3,Pharmacy,Medium,Medication Delivery Review,2025-08-04
Operational_Efficiency,Environmental_Service_Time,35,30,minutes,+3,+2,Environmental Services,Medium,Cleaning Protocol Review,2025-08-04
Operational_Efficiency,Transport_Response_Time,8.2,7.0,minutes,+0.8,+1.2,Transport,Medium,Staffing Analysis,2025-08-04
Safety_Metrics,Patient_Falls_Rate,2.3,2.0,per_1000_days,+0.2,+0.1,Nursing,High,Fall Prevention Protocol,2025-08-04
Safety_Metrics,Workplace_Injuries,4.2,3.0,per_100_FTE,+0.8,+1.0,Safety,High,Safety Training Program,2025-08-04
Safety_Metrics,Sentinel_Events,1,0,count,0,+1,Quality,Critical,Root Cause Analysis,2025-08-04
Safety_Metrics,Code_Blue_Response,2.8,3.0,minutes,-0.1,-0.2,Emergency Response,Medium,Maintain Performance,2025-08-04
Safety_Metrics,Fire_Drill_Compliance,95.8,100.0,percentage,-2.1,-1.2,Safety,Medium,Staff Training,2025-08-04
Safety_Metrics,Security_Incidents,3,2,count,+1,+1,Security,Medium,Security Protocol Review,2025-08-04
Safety_Metrics,Medication_Errors,0.8,0.5,per_1000_doses,+0.1,+0.2,Pharmacy,High,Medication Safety Review,2025-08-04
Technology_Performance,EMR_Downtime,0.8,0.5,percentage,+0.2,+0.1,IT,High,System Redundancy Review,2025-08-04
Technology_Performance,Help_Desk_Response,89.2,95.0,percentage,-2.1,-3.2,IT,Medium,Service Level Review,2025-08-04
Technology_Performance,Network_Performance,96.8,98.0,percentage,-0.5,-0.8,IT,Medium,Infrastructure Upgrade,2025-08-04
Technology_Performance,Cybersecurity_Score,87,90,score,+1,+2,IT,Medium,Security Assessment,2025-08-04
Technology_Performance,Data_Backup_Success,98.7,99.5,percentage,-0.2,-0.5,IT,Medium,Backup Process Review,2025-08-04
Technology_Performance,PACS_Availability,98.9,99.5,percentage,-0.1,-0.3,IT,Medium,System Monitoring,2025-08-04
Technology_Performance,Telemedicine_Uptime,97.2,98.5,percentage,-0.8,-1.1,IT,Medium,Platform Stability Review,2025-08-04
Sustainability,Energy_Consumption,2.8,2.5,kWh_per_sq_ft,+0.1,+0.2,Facilities,Medium,Energy Efficiency Program,2025-08-04
Sustainability,Water_Usage,185,170,gallons_per_bed,+8,+12,Facilities,Medium,Conservation Initiative,2025-08-04
Sustainability,Waste_Reduction,67.2,75.0,percentage,-2.1,-3.8,Environmental,Medium,Recycling Program,2025-08-04
Sustainability,Carbon_Footprint,2.1,1.8,tons_CO2_per_bed,+0.1,+0.2,Facilities,Medium,Green Initiative,2025-08-04
Research_Education,Clinical_Trials_Enrollment,145,200,patients,-8,-15,Research,Medium,Recruitment Strategy,2025-08-04
Research_Education,Medical_Students,28,30,count,-1,-2,Medical Education,Low,Rotation Scheduling,2025-08-04
Research_Education,Nursing_Students,42,45,count,-2,-3,Nursing Education,Low,Clinical Placement,2025-08-04
Research_Education,Publications,18,25,count,-1,-4,Research,Medium,Publication Support,2025-08-04
Research_Education,Grant_Funding,2.8,3.5,millions_USD,-0.2,-0.5,Research,Medium,Grant Writing Support,2025-08-04
Community_Health,Emergency_Preparedness_Score,92,95,score,+1,+2,Emergency Management,Medium,Drill Compliance,2025-08-04
Community_Health,Public_Health_Screenings,156,200,count,-12,-18,Community Health,Medium,Outreach Program,2025-08-04
Community_Health,Health_Education_Programs,8,12,programs,-1,-2,Community Health,Medium,Program Development,2025-08-04
Community_Health,Charity_Care_Percentage,8.2,10.0,percentage,-0.3,-0.8,Finance,Medium,Community Benefit Review,2025-08-04
